date,open,high,low,close,volume,pct,ma5,ma10,ma20,ma60,ma120,ma250
1991-08-19,163.21,163.21,161.6,163.21,98500,0.9962871287128694,160.144,156.371,149.62050000000002,135.59683333333334,126.82983333333333,
1991-08-20,164.74,164.84,163.21,164.84,57300,0.998713314135169,161.698,157.893,150.893,136.48283333333333,127.10358333333333,
1991-08-21,166.49,166.49,164.84,166.49,341100,1.0009706381946204,163.27,159.43,152.1835,137.3785,127.3955,
1991-08-22,167.81,168.16,166.49,168.16,129600,1.0030632470418466,164.85999999999999,160.985,153.582,138.28416666666666,127.70566666666667,
1991-08-23,169.81,169.81,168.16,169.81,60500,0.9812083729781262,166.502,162.55599999999998,155.0395,139.2005,128.034,
1991-08-26,171.51,171.51,169.81,171.51,64300,1.0011188975914243,168.16199999999998,164.153,156.53900000000002,140.12616666666665,128.38083333333333,
1991-08-27,173.06,173.19,171.51,173.19,79600,0.9795347210075356,169.83200000000002,165.76500000000001,158.079,141.06066666666666,128.7465,
1991-08-28,174.82,174.92,173.19,174.92,80400,0.9989029389687598,171.518,167.39399999999998,159.635,142.0065,129.13108333333332,
1991-08-29,176.53,176.66,174.92,176.66,260800,0.9947404527784087,173.21800000000002,169.03900000000002,161.20600000000002,142.9813333333333,129.552,
1991-08-30,178.2,178.43,176.66,178.43,675900,1.001924600928339,174.942,170.722,162.7935,143.94733333333335,129.992,
1991-09-02,180.08,180.22,178.43,180.22,140800,1.003194530067808,176.684,172.423,164.397,144.92316666666665,130.45075,
1991-09-03,181.71,181.97,180.22,181.97,147500,0.9710354011763345,178.44,174.13600000000002,166.0145,145.90783333333334,130.92791666666668,
1991-09-04,183.66,183.69,181.97,183.69,65000,0.9452107490245609,180.19400000000002,175.856,167.643,146.9008333333333,131.4235,
1991-09-05,185.48,185.51,183.69,185.51,151400,0.990799716914359,181.964,177.59099999999998,169.28799999999998,147.90366666666665,131.93891666666667,
1991-09-06,187.09,187.36,185.51,187.36,276500,0.9972508220581267,183.75,179.346,170.951,148.95083333333332,132.47425,
1991-09-09,189.1,189.24,187.36,189.24,355200,1.0034158838599483,185.554,181.119,172.63600000000002,150.00866666666667,133.02941666666666,
1991-09-10,190.98,190.98,188.19,188.33,3343400,-0.4808708518283633,186.826,182.63299999999998,174.199,151.03033333333332,133.58116666666666,
1991-09-11,187.29,187.29,186.86,187.22,2139200,-0.5893909626719096,187.532,183.863,175.62849999999997,152.0125,134.12783333333334,
1991-09-12,186.22,187.4,186.07,186.22,1969900,-0.534130968913582,187.67400000000004,184.81900000000002,176.929,152.95666666666665,134.67033333333333,
1991-09-13,188.0,188.04,185.01,187.79,3743400,0.8430888196756525,187.76,185.755,178.2385,153.9055,135.23016666666666,
1991-09-16,189.55,189.66,187.79,189.66,993300,0.9957931732254233,187.844,186.699,179.56099999999998,154.8636666666667,135.80908333333335,
1991-09-17,191.16,191.18,188.28,188.65,2882900,-0.5325318991880157,187.908,187.367,180.75150000000002,155.78300000000002,136.37508333333332,
1991-09-18,187.26,188.59,187.18,187.63,1582200,-0.5406838059899388,187.99,187.76100000000002,181.8085,156.66299999999998,136.92858333333334,
1991-09-19,187.65,189.21,186.49,186.88,2343900,-0.39972285881788583,188.12199999999999,187.898,182.7445,157.50783333333337,137.47166666666666,
1991-09-20,185.77,187.21,185.66,185.92,1207500,-0.5136986301369939,187.748,187.754,183.55,158.31383333333332,138.00666666666666,
1991-09-23,185.0,185.92,184.71,185.0,403400,-0.49483648881238906,186.816,187.32999999999998,184.22449999999998,159.11633333333336,138.53549999999998,
1991-09-24,183.96,185.04,183.69,184.08,142600,-0.49729729729729444,185.902,186.905,184.76899999999998,159.91833333333335,139.06041666666667,
1991-09-25,182.8,184.08,182.8,183.19,138900,-0.4834854411125633,185.01399999999998,186.502,185.1825,160.71699999999998,139.58183333333332,
1991-09-26,182.21,183.19,181.93,182.33,654100,-0.46945793984386475,184.104,186.113,185.46599999999998,161.47866666666667,140.09991666666667,
1991-09-27,183.12,183.89,181.19,181.82,3372800,-0.27971260900565564,183.284,185.51600000000002,185.6355,162.24300000000002,140.61808333333335,
1991-09-30,180.28,181.95,180.27,180.92,2559400,-0.49499505004950706,182.468,184.642,185.6705,163.00366666666665,141.13233333333332,
1991-10-03,181.55,182.48,179.8,182.48,1874100,0.862259562237444,182.148,184.025,185.696,163.80100000000002,141.66325,
1991-10-04,184.29,184.29,183.59,184.29,736000,0.9918895221394219,182.368,183.69099999999997,185.726,164.63933333333333,142.21283333333335,
1991-10-07,185.95,186.0,185.41,186.0,1136900,0.9278853980140056,183.102,183.603,185.75050000000002,165.51633333333334,142.78033333333332,
1991-10-08,187.59,187.61,186.0,187.49,2374500,0.8010752688172085,184.23600000000002,183.76,185.757,166.42783333333333,143.364,
1991-10-09,188.49,189.12,186.31,189.12,2098900,0.869379700250672,185.87599999999998,184.172,185.751,167.36083333333332,143.96433333333334,
1991-10-10,190.71,191.01,189.12,191.01,663800,0.9993654822334941,187.58200000000002,184.865,185.885,168.30316666666667,144.58416666666665,
1991-10-11,192.84,192.88,191.01,192.85,1098100,0.9633003507669713,189.294,185.831,186.16649999999998,169.25383333333335,145.223,
1991-10-14,194.06,194.69,192.32,194.67,2149300,0.9437386569872919,191.02800000000002,187.065,186.589,170.2121666666667,145.88033333333334,
1991-10-15,196.58,196.61,194.67,196.61,1100200,0.9965582781116922,192.852,188.54399999999998,187.03,171.21066666666667,146.55741666666665,
